Name,Category,Description,Address,Phone,WhatsApp,BusinessHours,WeeklyOff,TopProducts,Facebook,Instagram,Website,Latitude,Longitude,ImageURL,Slug,OriginalURL,DateAdded,Status
Caffè Mocha,Cafe,"Caffè Mocha is the best cafe in the district headquarter of Madhepura, Bihar India",1 SBI Road Madhepura Bihar 852113,123456789,9876543210,9AM to 9PM,NEVER,"Caffè mocha, Latte, Cold brew, Cappuccino",https://www.facebook.com/myMadhepura/,https://www.instagram.com/myMadhepura/,,25.917414,86.791591,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/4-1.png,caffe-mocha,https://mymadhepura.com/listing/caffe-mocha/,2023-05-13,Published
Dentist Dr yamini Singh and dr pranav Pratap singh,Dentists,"Dental and skin specialist and many more type of treatment are here.must visit once 
Dr pranav Pratap singh and Dr yamini singh","SBI ROAD W.N 18 NEAR RAJ HOTEL, Madhepura",9431851300,9431851300,Opening time 10:00am closing time 8:pm,,"Teeth treatment,acne treatment,skin and hair analyzer,tatoo remove ,permanent hair remove treatment,",,,,25.917104,86.790838,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230514113423-scaled.jpg,dentist-dr-yamini-singh-and-dr-pranav-pratap-singh,https://mymadhepura.com/listing/dentist-dr-yamini-singh-and-dr-pranav-pratap-singh/,2023-05-14,Published
Masala chai and general store,Grocery,All grocery items are available here and masala tea is also here ..must visit once,"SBI ROAD WARD NO 17 , MADHEPURA",7549029985,7549029985,5:00 am opening time and closing time 10 pm,Sunday,Tea and all grocery item,,,,25.917104,86.790838,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230514115035-scaled.jpg,masala-chai-and-general-store,https://mymadhepura.com/listing/masala-chai-and-general-store/,2023-05-14,Published
Pratap customized gift,Fashion,"All type of customized photos,frames, gifts etc are available here must visit once .",SBI ROAD NEAR PATANJALI STORE MADHEPURA,9297927475,9297927172,8 am opening time closing time 8pm,,All time of customized photos albums and frames tshirts photo prints,,,,25.917104,86.790838,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230514123428-scaled.jpg,pratap-customized-gift,https://mymadhepura.com/listing/pratap-customized-gift/,2023-05-14,Published
Shiv shakti comunication,Restaurants,All mobile phone are repaired here and all phone covers are available here must visit once.thanku,State Bank road near goggles shop,9102209600,9102209600,8;00 am opening and closing time 8 pm,,All types of phone covers and mobile are repairing here,,,,,,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230514125230-scaled.jpg,shiv-shakti-comunication,https://mymadhepura.com/listing/shiv-shakti-comunication/,2023-05-14,Published
Anand marga school,Schools,CBSE SCHOOL ANAND MARGA SCHOOL KABIR NAGAR WARD NO 3 MADHEPURA BIHAR NURSERY TO 10TH,Kabir nagar ward no 3madhepura bihar,8877210417,8877210417,7:am opening time and closed time 2pm,Sunday close,Nursery to 10th classes here CBSE SCHOOL,,,,25.933133,86.795491,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230514130532-scaled.jpg,anand-marga-school,https://mymadhepura.com/listing/anand-marga-school/,2023-05-14,Published
UB BIOLOGY CLASSES,Schools,11th and 12th classes and medical ki padhai ya hoti h ...C.B.S.E PATERN AND BSEB PATERN,Kabir nagar ward no 3 Madhepura,7295891357,7295891357,Morning 6:00 am and closing time 8pm,Sunday close,11th and 12th medical coaching CBSE AND BSEB PATERN,,,,25.933133,86.795491,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230514130352-scaled.jpg,ub-biology-classes,https://mymadhepura.com/listing/ub-biology-classes/,2023-05-14,Published
Minckey beauty parlour,Fashion,"Welcome to Minckey Beauty Parlour, your premier destination for all your beauty needs in My Madhepura! We are proud to be a part of the thriving local business scene and offer a wide range of services to help you look and feel your absolute best.

Located in the heart of My Madhepura, Minckey Beauty Parlour is dedicated to providing exceptional beauty treatments and services to our valued clients. Our highly skilled team of experienced beauticians is committed to delivering personalized care and attention to every individual who walks through our doors.

At Minckey Beauty Parlour, we understand that each person has unique beauty aspirations and requirements. That's why we offer a comprehensive range of services tailored to suit your specific needs. From relaxing facials and rejuvenating skin treatments to professional makeup application and glamorous hairstyling, our beauty experts are here to help you enhance your natural beauty and boost your confidence.

As the leading beauty parlour in My Madhepura, we take great pride in using only top-quality products and state-of-the-art equipment. Our team stays up-to-date with the latest industry trends and techniques, ensuring that you receive the most innovative and effective beauty solutions available.

When you choose Minckey Beauty Parlour, you can expect a warm and inviting atmosphere where you can unwind and indulge in a pampering experience like no other. Our friendly staff will make you feel right at home, and our attention to detail guarantees an exceptional level of service from start to finish.

To experience the finest beauty treatments in My Madhepura, visit Minckey Beauty Parlour today. Schedule an appointment with us and let our experts work their magic. Discover why we are the number one choice for all your beauty needs in My Madhepura.

&nbsp;

&nbsp;

All time of beauty treatment are here ,haircut,spaa,masaz, makeup treatment,makeup product etc",Subhas chowk near Hindustan electronic,9472963824,9472963824,10 am opening time and closing time 8pm,Saturday close,"Hair cut ,spaa,beauty treatment,facial,mashaz,eyeblow,makeup,makeup product and etc",,,,25.917414,86.791591,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230514125827-scaled.jpg,mickey-beauty-parlour,https://mymadhepura.com/listing/mickey-beauty-parlour/,2023-05-14,Published
Birju general store,Grocery,"All type of eating things like chocolate, biscuit,pan , puriya etc are available here",Kabir nagar ward no 3 Madhepura,7549325845,7549325845,6am opening and 10:30close,,"Rajnigandha,Panparak,biscuit chocolate,cold drink, tabaco",,,,25.934337,86.795264,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230514141856-scaled.jpg,birju-general-store,https://mymadhepura.com/listing/birju-general-store/,2023-05-14,Published
Dr. Yamini Singh,Dentists,"Welcome to the profile of Dr. Yamini Singh, the top-rated doctor and dentist specializing in cosmetic surgery in Madhepura. With her extensive knowledge and expertise, Dr. Singh is dedicated to providing exceptional dental care and helping her patients achieve beautiful, healthy smiles.

As the leading dentist in Madhepura, Dr. Yamini Singh holds a Bachelor of Dental Surgery (BDS) degree and has undergone rigorous training in various aspects of dentistry. Her passion for cosmetic surgery has led her to specialize in enhancing the aesthetic appeal of smiles, giving her patients the confidence to show off their pearly whites.

At Dr. Yamini Singh's clinic, we understand that visiting the dentist can be a daunting experience for many. That's why we strive to create a comfortable and welcoming environment, where our patients can feel at ease from the moment they step through our doors. Our friendly and compassionate team is committed to delivering personalized care, ensuring that each patient receives individual attention and the highest standard of treatment.

Dr. Yamini Singh offers a comprehensive range of dental services in Madhepura, including teeth whitening, veneers, dental implants, orthodontics, and more. With her meticulous attention to detail and artistic approach, she is able to transform smiles, giving her patients the stunning results they desire. Whether you're looking to correct misaligned teeth, restore chipped or damaged teeth, or simply enhance your smile's natural beauty, Dr. Gupta is here to provide the expertise and guidance you need.

Utilizing the latest advancements in dental technology and techniques, Dr. Yamini Singh stays at the forefront of the field, ensuring her patients in Madhepura receive the most effective and efficient treatments available. She is dedicated to continuing education and professional development, enabling her to provide the highest level of care and stay up-to-date with the latest advancements in cosmetic dentistry.

If you're searching for a skilled doctor and dentist in Madhepura who specializes in cosmetic surgery, look no further than Dr. Yamini Singh. With her expertise, commitment to excellence, and passion for creating beautiful smiles, she is the number one choice for all your dental needs. Schedule an appointment today and discover the difference Dr. Singh can make in transforming your smile and boosting your confidence.","SBI ROAD W.N 18 NEAR RAJ HOTEL, Madhepura",919431851300,919431851300,10 AM 8 PM,Never,"Teeth treatment,acne treatment,skin and hair analyzer,tatoo remove ,permanent hair remove treatment,",,,,25.917414,86.791591,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/Dr.-Yamini-Gupta.png,dr-yamini-singh,https://mymadhepura.com/listing/dr-yamini-singh/,2023-05-14,Published
